,Scientific Names,CommonName,Region,Country,Average_Weight,Status,HomeRange_ha,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky_areas,Habitat_Desert,Home_Range_log,AverageWeight_log,Locomotion_BOTH,Locomotion_T,DielActivity_D,DielActivity_N,TrophicGuild_Folivore,TrophicGuild_Frugivore,TrophicGuild_Gummivore,TrophicGuild_Insectivore,TrophicGuild_Omnivore
170,Lorisidae Perodicticus,Milne Edwards s Potto,North West Africa,Senegal,1.19,0,23.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.1441522786722644,0.17395330712343798,0,0,0,1,0,1,0,0,0
171,Indriidae Propithecus,Milne Edwards s Sifaka,Madagascar,Madagascar,5.74,3,145.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.976733742420574,1.747459210331475,0,0,1,0,0,0,0,0,0
172,Lepilemuridae Lepilemur,Milne Edwards s Sportive Lemur,Madagascar,Madagascar,0.93,3,1.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08617769624105241,-0.07257069283483537,0,0,0,1,1,0,0,0,0
173,Cercopithecidae Piliocolobus,Miss Waldron s Red Colobus,North West Africa,CÃ´te dÂIvoire,5.9,4,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.787491742782046,1.7749523509116738,0,0,1,0,1,0,0,0,0
174,Cercopithecidae Presbytis,Mitered Langur,South East Asia,Indonesia,5.8,3,21.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.079613757534693,1.7578579175523736,0,0,1,0,0,0,0,0,0
175,Lepilemuridae Lepilemur,Mittermeier s Sportive Lemur,Madagascar,Madagascar,0.86,3,3.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2809338454620642,-0.15082288973458366,0,0,0,1,1,0,0,0,0
176,Hylobatidae Hylobates,Moloch Gibbon,South East Asia,Indonesia,6.42,3,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.833213344056216,1.8594181177018698,0,0,1,0,0,1,0,0,0
177,Cercopithecidae Cercopithecus,Mona Monkey,North West Africa,Benine,4.05,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,1.3987168811184478,0,0,1,0,0,1,0,0,0
178,Lemuridae Eulemur,Mongoose Lemur,Madagascar,Madagascar,1.48,4,2.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0473189942805592,0.3920420877760237,0,0,0,0,0,0,0,0,0
179,Cercopithecidae Macaca,Moor Macaque,South East Asia,India,7.88,3,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.995732273553991,2.064327903869788,1,0,1,0,0,1,0,0,0
